word,doc01.txt,doc02.txt,doc03.txt,doc04.txt,doc05.txt,doc06.txt,doc07.txt,doc08.txt,doc09.txt,doc10.txt,doc11.txt,doc12.txt,doc13.txt,doc14.txt,doc15.txt,doc16.txt,doc17.txt,doc18.txt,doc19.txt,doc20.txt
cows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
though,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cars,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
against,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
odds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
who,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0
wrote,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bible,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qur'an,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightning,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
storm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gave,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
then,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
dinosaurs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
were,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
damn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
made,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
words,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
numbers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mankind,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
under,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
everything,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
planet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preserve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microwaved,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
try,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
matter,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
we'll,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what's,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
human,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
anything,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
along,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
land,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consuming,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eatin',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deletin',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trying,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paper,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gotta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
have,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
acres,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
jack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nicholson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
niggas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
play,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
game,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
lakers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
full,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fakers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gypsies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seances,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mystical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prayers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superstitious,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
throw,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
salt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
over,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
your,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
shoulders,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wish,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
somebody,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
got,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
doll,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stickin',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
needles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arteries,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sometimes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'part,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
real,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spirit',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i'm,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fearless,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
don't,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
grab,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
military,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soldier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
since,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
seven,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
years,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
old,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
held,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arms,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
felt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
